bangla_speech,barishal_bangla_speech,chittagong_bangla_speech,mymensingh_bangla_speech,noakhali_bangla_speech,sylhet_bangla_speech
প্রথম দিকে আমি খারাপ ব্যবহার করতাম,পোরথোম দিক মুই খারাপ ব্যবহার করতাম,ফ্রথম আই হারাফ আসরন গইত্তেম,প্রথম দিকে আমি খারাপ ব্যবহার করতাম,হথম দিকে আই খারাপ ব্যাবহার কইরতাম, পয়লা দিকে মুই বাদ ব্যবহার খরতাম
প্রথমবার ঠকার পর একটা ভয় ঢুকে গেছিলো ভিতরে,পোরথোমবার ঠগার পর এউক্কা ডর ঢুইক্কা গ্যাল্লেহ ভিতরে,ফ্রথম বার থকিবার ফর ডোর আই গিয়ি আর ভিতরত,প্রথমবার ঠকার পর একটা ভয় ঢুইক্কা গেসিলো ভিতরে,হথমবার ঠকার হর এককান ভয় ঢুকি গেছিলো ভিতরে, পয়লা বার ঠকার বাদে এখটা ডর হামাই গেছিল ভিতরে
তাকে আমি বলে নিছিলাম যে আমার তোমাকে বিশ্বাস করতে সময় লাগবে,হ্যারে মুই কইয়া নেল্লাহম যে মোর তোমারে বিশ্বাস করতে সময় লাগবে,তারে আই হইলাম যে আত্তুন তোওয়ারে বিশ্বাস গইত্তে সময় লাইবো,তারে আমি কয়া নিসিলাম যে আমার তোমারে বিশ্বাস করতে সময় লাগব,হেতারে আই কই নিছিলাম যে আর তোয়ারে বিশ্বাস কইরতে সময় লাইগবো,তারে আমি কইয়া রাখছিলাম যে মুই তুমারে বিশ্বাস খরতে সময় লাগবো
সে বলছিলো সমস্যা নাই,হ্যায় কইছেলে সমেস্যা নাই,সে হইয়েদে সমইস্যা নাই,হেয় কইসিলো সমস্যা নাই,হেতে কইছিলো সমইস্যা নাই,হে কইছিল সমস্যা নাই
আমি তোমার পাশে আছি,মুই তোমার পাশে আছি,আই তোওয়ার ডাহদ্দি আসি,আমি তোমার পাশে আসি,আই তোমার হাশে আছি,মুই  তুমার লগে আছি
তোমার সব কথা মেনে নিবো,তোমার হগল কথা মাইন্না লমু,তোওয়ার হতা মানি লইউম,তোমার সব কথা মাইন্না নিমু,তোমার বেক কতা মানি নিয়ুম,তুমার হখল খতা মানিয়া নিমু
ঝে মাঝে ঝগড়া হতো কিন্তু সেইদিনই সব ঠিক হয়ে যাইতো,মাঝে মাঝে কাইজ্যা হইতে তয় হেইদিনই বেবাক ঠিক হইয়া যাইতে,মাঝদ্দি ঝগড়া অইতো আবার সেই দিনত থিক অই যাইতো,মাঝে মাঝে ঝগড়া হইতো কিন্তু হেইদিনই সব ঠিক হয়া যাইতো,মাঝে মাঝে ঝগড়া অইতো কিন্তু হেইদিনই বেগগিন ঠিক অই যাইতো,মাঝে মাঝে ঝগড়া অইতো কিন্তু হউ দিন অউ সবতা ঠিক অই যাইতো
সে আমার ছোট ছোট পছন্দের জিনিসও খেয়াল রাখতো,হ্যায় মোর ছোডো ছোডো পছন্দের জিনিসও খেয়াল রাখতে,সে ছোট্ট ছোট্ট পছন্দ হেয়াল রাখিতো,হেয় আমার ছোট ছোট পসন্দের জিনিসও খেয়াল রাখতো,হে আর ছোডো ছোডো হছন্দের জিনিসও খেয়াল রাইকতো,হে মোর ছুটো ছুটো ফছন্দর জিনিসও খেয়াল রাখতো
দ্বিতীয় জনকে পেয়ে নিজেকে খুব ভাগ্যবতী মনে হতো,দুইনাম্বার জনরে পাইয়া নিজেরে ম্যালা ভাগ্যবতী মনে করতাম,আরেকজন ফাইয়েরে নিজেরে বহুত ভাগ্যবতি মনত অইতো,দ্বিতীয় জনরে পায়া নিজেরে খুব ভাগ্যবতী মনে হইতো,দ্বিতীয় জনরে হাই নিজেরে খুব ভাগ্যবতী মনে অইতো,দুুই নাম্বার জনরে পাইয়া নিজোরে খুব ভাইগ্যবতী মনো অইতো
আমার সাথে বাজে ব্যবহার করতে থাকলো,মোর লগে খারাপ ব্যবহার করতে রইছে,আর ফোয়ারিত হারাফ ব্যবহার গইরতো,আমার লগে বাজে ব্যবহার করতে থাকলো,আর লগে বাজে ব্যবহার কইরতে থাইকলো,মোর লগে বাদুয়া ব্যবহার খরতে থাকলো
ততোদিনে আমি তার প্রতি অনেকটাই দুর্বল হয়ে গেছি,ততদিনে মুই হ্যার উপরে অনেক দুর্বল হইয়া গ্যাছি,ততোদিনত আই তার ফ্রতি দুরবল অই গিয়ি,ততোদিনে আমি হের প্রতি অনেকটাই দুর্বল হয়া গেসি,ততোদিনে আই হেতার হতি অনেকটাই দুর্বল অই গেছি,ততদিনে মুই তার প্রতি বাক্কা দুর্বল অই গেছলাম
সে আমাকে ঝগড়া হলেই সব সময় অপমান করে,হ্যায় মোরে কাইজ্যা হইলেই হগল সময় অপমান করে,সে আর ফোয়ারিত ঝগড়া অইলেই আরে অফমান গরে,হেয় আমারে ঝগড়া হইলেই সব সময় অফমান করে,হে আরে ঝগড়া অইলেই বেক সময় অপমান করে,হে আমারে ঝগড়া অইলেউ হখল সময় অপমান খরে
পরিবার তুলে গালি দেয়,পরিবার তুইল্লা খামার দ্যায়,ফরিবার তুলিয়েরে গাইল দে,পরিবার তুইল্লা গালি দেয়,হরিবার তুলি গালি দে,পরিবার তুলিয়া গাইল দেয়
আমি দ্বিতীয় বার ভালোবেসেও ঠকে গেছি,মুই দ্বিতীয় ফির ভালবাইসাও ঠইজ্ঞা গ্যাছি,আই আরো একবার ভালোবাসিয়েরে ঠকি গেইলাম,আমি দ্বিতীয় বার ভালোবাইসাও ঠইক্কা গেসি,আই দ্বিতীয় বার ভালোবাসিও ঠকি গেছি,মুই দুই নাম্বার বার ভালোবাসিয়াও ঠগি গেলাম
তবে আমি তাকে এখনো ভালোবাসি,তয় মুই হ্যারে এহনো ভালবাসি,তবে তারে আই এহনো ভালোবাসি,তবে আমি তারে এহনো ভালবাসি,তবে আই হেতারে অনো ভালোবাসি,তেবো মুই তারে অখনো ভালাপাই
তার দেয়া কথা গুলা মাঝে মাঝে মনে পড়লে অনেক হাসি আসে,হ্যার দেওয়া কথা গুলান মাঝে মাঝে মনে আইলে ম্যালা হাসি আহে,তার হতা বাত্রা মাঝদ্দি মনত ফরিলে বহুত আসি আইয়ে,হের দেয়া কথা গুলা মাঝে মাঝে মনে পড়লে অনেক হাসি আয়,হেতার দেয়া কতাগিন মাঝে মাঝে মনে হইড়লে অনেক হাসি আইয়ে,তারে দেওয়া কথাগুইন মাঝে মাঝে মনে আইলে বাক্কা হাসি আয়
তার কি একটুও মনে পড়ে না আগের দিনের কথা?,হ্যার কি মোডেও মনে পড়ে না আগের দিনের কথা?,তার এক্কানো কি মনত নো ফরে আগের হতা?,তার কি একটুও মনে পড়ে না আগের দিনের কথা?,হেতার কি এককানা ও মনে হড়ে না আগের দিনের কতা?,তার কিতা থুরাও মনো ফড়ে নানি আগর দিনর মাত?
সে কিভাবে পারলো এতো স্বপ্ন দেখানোর পরে আমাকে ঠকাইতে?,হ্যায় ক্যামনে পারছে এত্তো স্বপ্ন দ্যাহাইন্নার পরে মোরে ঠগাইতে?,সে কেনে ফাইল্ল এতো সপ্ন দেহাইয়েরে আরে ঠহাইতো?,হেয় কেমনে পারলো এতো স্বপ্ন দেহানোর পরে আমারে ঠকাইতে?,হে কেন্নে হাইরলো এতো স্বপ্ন দেয়ানোর হরে আরে ঠকাইতে?,হে কিলা ফারলো অতো সফনো দেখানির বাদে মোরে অলা ঠগাইতো
এখন নিজেকেই আর বিশ্বাস করতে পারি না,এহন নিজেরেই আর বিশ্বাস করতে পারিনা,এহন আর নিজেরে বিশ্বাস গরিন্নো ফারি,এহন নিজেরেই আর বিশ্বাস করতে পারি না,অন নিজেরেই আর বিশ্বাস কইরতে হারি না, অখন নিজোরেউ আর বিশ্বাস খরতাম ফারই না
কি ছিলাম আর কি হলাম,কি আল্লাহম আর কি হইছি,কি আসিলাম কি অই গিয়ি,কি ছিলাম আর কি হইলাম,কি আছিলাম আর কি অইলাম,কিলান আছলাম আর কিলান অইলাম
আমার বিয়ের বয়স ২২ মাস,মোর বিয়ার বয়স ২২ মাস,আর বিয়ার বয়স ২২ মাস,আমার বিয়ার বয়স ২২ মাস,আর বিয়ার বয়স ২২ মাস, মোর বিয়ার বয়স ২২ মাস
আমার ৮ মাসের একটা ছেলে বাবু আছে,মোর ৮ মাসের এইক্কা পোলা গেদু আছে,আর ৮ মাসর এক্কান মরত ফোয়া আসে,আমার ৮ মাসের একটা ছেলে বাবু আছে,আর আশটে মাসের ওকগা হোলা বাবু আছে,  মোর ৮ মাসর এখান ফুয়া আছে
এই করোনায় অনার্স ফাইনাল ইয়ারে থাকাকালীন বিয়ে হয়ে যায় আমার,এই করোনাইয় অনার্স লাস্ট ইয়ারে থাহাকালিন বিয়া হইয়া যায় মোর,এই হরনাত অনার্স ফাস ফাইনালত তাকিতেই বিয়া অইয়ে আর,এই করোনায় অনার্স ফাইনাল ইয়ারে থাকাকালীন বিয়া হয়া যায় আমার,এই করোনায় অনার্স হাইনাল ইয়ারে থাকাকালীন বিয়া অই যায় আর,অউ করোনার সময় অনার্স ফাইনেল ইয়ারো থাকাকালীন বিয়া অই গেছিল মোর
আমি গনিতে অনার্স করতেছিলাম,মুই গনিতে অনার্স করতেয়াছেলাম,আই গনিতের উওরত অনার্স গরিত্তাসিলাম,আমি গনিতে অনার্স করতাসিলাম,আই গনিতে অনার্স কইরতেছিলাম,মুই অঙ্কত অনার্স করাত আছলাম
এদিকে যার সাথে বিয়ে হয় সে অশিক্ষিত,এইদিকে যের লগে বিয়া হয় হ্যায় অশিক্ষিত,এ সাইডদ্দি যার ফোয়ারিত বিয়া অইয়ে সে অসিক্ষিত,এদিকে যার সাথে বিয়া হয় হেয় অশিক্ষিত,এম্মির দিকে যার লগে বিয়া হয় হে অশিক্ষিত, অবায়দি যার লগে বিয়া অইছে হে গন্ডোমূর্খ
সে স্কুলেই যাইনি কখনো,হ্যায় ইস্কুলেই যায়নাই কহনো,সে স্কুলত নো যায় হোন দিন,হেয় স্কুলেই যায় নাই কহনো,হে স্কুলেই যায়নো কোনোদিন,হে জিন্দেগিতো  ইস্কুলো গেছে না
"বিয়ের সময় বলছিলো ছেলে শিক্ষিত,ঢাকায় চাকরি করে",বিয়ার কালে কইছেলে পোলা শিক্ষিত ঢাহায় চাকরি করে,বিয়ার সমত অইলো আরারে ফোয়া শিক্ষিত ঢাহাত চরি গরে,"বিয়ের সময় কইসিলো পোলা শিক্ষিত,ঢাকায় চাকরি করে","বিয়ার সময় কইছিলো হোলা শিক্ষিত,ঢাকাত চাকরি করে","বিয়ার সময় খইছিল ফুয়া শিকখিতো, ঢাকাত চাকরি খরইন"
আমার বর ছোটবেলায় তার মা হারায়,মোর জামাই লেদাকালে হ্যার মা হারাইছে,আর বর ছোটহালত তার মা ইন্তেকাল অই যায়,আমার বর ছোটবেলায় তার মা হারায়,আর বর ছোডোবেলায় হেতার মা হারায়, মোর জামাই হুরুকালো তান মারে আরাইছইন
বিয়ের সময় বলছিলো বরের বাড়ি আছে,বিয়ার কালে কইছেলে জামাইর বাড়ি আছে,বিয়ার হইলো বরর বাড়ি আসে,বিয়ার সময় কইসিল বরের বাড়ি আসে,বিয়ার সময় কইছিলো বরের বাড়ি আছে,  বিয়ার কালো কইছলা জামাইর বাড়ি আছে
এসব নিয়ে আমি সমস্যা করি নি,এইয়া লইয়া মুই সমেস্যা করি নাই,ইয়েন লইয়েরে বেঝাল নো গরি আই,এইসব নিয়া আমি সমস্যা করি নাই,ইগিন লই আই সমস্যা করি ন, অতা লইয়া আমি সমস্যা খরছি না
বোনকে বাসায় পাঠিয়ে দিয়েছি,বুইনেরে বাড়ি পাডাইয়া দিছি,ভোইনেরে বাসাত ফাডাই দিয়ে,বইনরে বাসায় পাঠায়া দিসি,বোনরে বাসাত হাডাই দিছি,  বইনরে বাসাত পাটাই দিছি
আমি এক কাপড়ে বাসা থেকে বের হয়ে এসেছি,মুই এক কাফুরে বাড়ি গোনে বাইর হইয়া আইছি,আই এক হরত বাসাত্তুন আই গিয়ি,আমি এক কাপড়ে বাসা থাইক্কা বাইর হয়া আইসি,আই এক কাপড়ে বাসার তুন বার অই আইছি,মুই এখ কাফরে বাসা থাকি বারইয়া আইছি
কাল ঘটনাটা শোনার পর থেকে আমার দম বন্ধ লাগছিল,কাইল ঘটনাডা হোনার পরে গোনে মোর দম বন্ধ লাগতেয়াছেলে,হালিয়া ঘটনাকান ফুনিবার ফরত্তুন আর দম বন্দ লার,কাল ঘটনাটা হুনার পর থাইক্কা আমার দম বন্ধ লাগতাসিল,কাইলগা ঘটনাকান হোনার হর তুন আর দম বন্ধ লাগছিলো,কাইল ঘটনাটা হুনার বাদ থাকি আমার দম বন লাগের
আমার স্বামী বাসায় ফিরলেই আমার কোলে মাথা রাখে,মোর জামাই বাড়ি আইলেই মোর কোলে মাথা রাহে,আর জামাই বাসাত আইলেইয়ার হোলত মাতা রাহে,আমার জামাই বাসায় ফিরলেই আমার কোলে মাথা রাখে,আর স্বামী বাসাত আইলেই আর কোলে মাতা রায়,মোর হাই বাসাত আইলেউ মোর কুছো মাথা রাখে
আমি একজন মেয়ে বয়স ২৩ বছর,মুই এউক্কা মাইয়া বয়স ২৩ বছর,আই একজন ২৩ বছরর মাইয়ে ফোয়া,আমি একজন মাইয়া বয়স ২৩ বছর,আই ওকগা মাইয়া বয়স ২৩ বছর,মুই এখটা ফুড়ি বয়স ২৩ বৎসর
আমার বিয়ে হয়েছে ১ মাস,মোর বিয়া হইছে ১ মাস,আর বিয়া অইয়ে ১ মাস,আমার বিয়া হইসে ১ মাস,আর বিয়া অইছে ১ মাস,মোর বিয়া অইছে ১ মাস 
আমার স্বামী ভালো অনেক,মোর জামাই ভালো বেমালা,আর জামাই বহুত ভালা,আমার জামাই ভালা মেলা,আর স্বামী ভালা অনেক, মোর জামাই যে ভালা
আমি কিছুই জানতাম না,মুই কিছুই জানতাম না,আই হোনো কিছু নো জানিতাম,আমি কিসুই জানতাম না,আই কিছুই জাইনতাম না,মুই কুনতা  জানতাম না
কি হবে তার জন্য কেঁদে?,কি হইবে হ্যার লইজ্ঞা কাইন্দা?,কি অইবো তার হাদিয়েরে?,কি হবে তার জন্য কাইন্দা?,কি অইবো হেতার লাই কাঁদি?,কিতা অইবো তার লাগি কান্দিয়া?
সে তো বুঝবেনা,হ্যায় তো বোঝবেনা,সে তো নো বুঝে,হেয় তো বুঝবনা,হেতে তো বুইঝতো ন, হে তো বুঝতো নায়
তুমি বোকার মতো তাকে নিয়ে ভেবে বসে থাকবে কেন,তুমি গোঙ্গার নাহান হ্যারে লইয়া ভাইব্বা বইয়া থাকপা কির লইজ্ঞা,তুই বলদের ডেক্কে ইতেরে লই বই তাহিবি কিল্লাই,তুমি বেক্কলের মতো তারে নিয়া ভাইব্বা বয়া থাকব কেরে,তুমি বেক্কলের মতন হেতেরে লই ভাবি বই থাকবি কিল্লেই,তুুমি আরুয়ার লাখান তারে লইয়া ভাবিয়া বই রইতায় খেনে
আমার ইচ্ছা আমি ভাব্বো,মোর ইচ্ছা মুই ভাবমু,আর ইচ্ছে আই ভাইব্বুম,আমার ইচ্ছা আমি ভাব্বাম,আর ইচ্ছা আই ভাইবগুম,মোর ইচ্ছা মুই ভাবিমু
আমি তো বোকাই,মুই তো গোঙ্গাই,আই তো বলদ,আমি তো বেক্কলই,আই তো বেক্কল ই,মুই তো আরুয়া অউ 
আমি কি বোকা?,মুই কি গোঙ্গা?,আই কি বলদ নে?,আমি কিতা বেক্কল?,আই কি বেক্কল ?,মুই যে আরুয়া? 
তুমি অনেক চালাক,তুমি বেমালা শেয়ান,তুই বত বড় সেয়ানা,তুমি মেলা চালাক,তুমি অনেক চালাক,তুমি রেবা বহুত চালু
আমি বার বার ভালোবেসে ঠকে গেছি,মুই ক্যাল ক্যাল ভালোবাইস্যা ঠইগ্যা গ্যাছি,আই বারবার মঅব্বত গরি ধরা হাই,আমি বার বার ভালোবাইসসা ঠইক্কা গেসি,আই বার বার ভালোবাসি ঠকি গেছি, মুুই বার বার পিরিত খরি ঠকলাম
ভালোবাসা অনেক কষ্টের,ভালোবাসা ম্যালা কষ্টের,মঅববত বত হষ্টের,ভালবাসা মেলা কষ্টের,ভালোবাসা অনেক কষ্টের, পিরিত বাক্কা খষ্টর
তোমার এক ফোটা হাসি দেখার জন্য বসে আছি,তোমার এক ফোডা হাসি দ্যাহার লইজ্ঞা বইয়া আছি,তোয়ার এক্কান হাসি দেইবারলাই বই আসি,তোমার এক ফোটা হাসি দেহনের লাইজ্ঞা বয়া আসি,তোয়ার এক হোটা আসি দেনের লাই বই রইছি, তুমার এখ জরা হাসি দেখার লাগি বই রইছি
একটু আগেই ঝাড়ু দেওয়া হয়েছে,এট্টু আগেই ঝারু দেওয়া হইছে,এক্কানা আগে ঝাড়ু মারা ওইয়্যে,একটু আগেই ঝাড়ু দেওয়ন হইসে,এককানা আগেই ঝাড়ু দেয়া অইছে,থুরা আগেউ ঝাড়ু দেওয়া অইছে
পানি দিয়ে মুছে দেওয়া হয়েছে,পানি দিয়া মুইছ্যা দেওয়া হইছে,ফানি দিয়েনে দুই দিইয়্যে,পানি দিয়া মুইচ্ছা দেওয়ন হইসে,হানি দি মুছি দেন অইছে,পানি দিয়া মুছি দেওয়া অইছে
শিক্ষার্থী নতুন ভর্তি হয়েছে,শিক্ষার্থী নতুন ভর্তি হইছে,শিক্ষার্থী নতুন ভর্তি অইয়ে,শিক্ষার্থী নতুন ভর্তি হইসে,শিক্ষার্থী নতুন ভর্তি অইছে,ছাত্রছাত্রী নয়া ভর্তি অইছইন
এলাকায় আগুন লেগেছে,এলাকায় আগুন লাগছে,এলাকাত অন লাইগ্গে,এলাকায় আগুন লাগসে,এলাকাত আগুন লাইগছে, এলাকাত আগুন লাগি গেছ
আমার নানা অসুস্থ,মোর নানা অসুস্থ,আর নানা গম নাই,আমার নানা অসুস্থ,আর নানা অসুস্থ,মোর  নানা বেমার
অনেক শিক্ষার্থী নতুন ভর্তি হয়েছে,বেমালা শিক্ষার্থী নতুন ভর্তি হইছে,বহুত শিক্ষার্থী নতুন ভর্তি অইয়ে,অনেক ছাত্র ছাত্রী  নতুন ভর্তি হইসে,অনেক শিক্ষার্থী নতুন ভর্তি অইছে, বাক্কা ছাত্রছাত্রী নয়া ভর্তি অইছইন
রোগীকে হাসপাতালে থাকতে হবে,রুগীরে হাসপাতালে থাকতে হইবে,রোগিরে হাসপাতালত তাহন ফরিবু,রোগীরে হাসপাতালে থাকতে হইব,রোগীরে হাসপাতালে থাইকতে অইবো,বেমারিরে হাসপাতাল থাখা লাগবো
নানাকে দেখতে গিয়েছিলাম,নানারে দ্যাখতে গ্যালাহম,নানারে চাইতু গেইলাম,নানাকে দেখতে গেসিলাম,নানারে চাইতে গেছিলাম,নানারে দেখাত গেছলাম
আমি আগে দেখিনি,মুই আগে দেহিনাই,আই আগে নো‌ চাই,আমি আগে দেহি নাই,আই আগে দেইনো, মুই আগে দেখছি না
নানা আমাকে দেখে খুব খুশি হলো,নানা মোরে দ্যাইকখা বেমালা খুশি হইছে,নানা আরে চাই হুশি অইয়্যে,নানা আমারে দেইক্ষা খুব খুশি হইল,নানা আরে দেই খুব খুশি অইছে, নানায় মোরে দেকিয়া বেতালা খুশ অইছইন
সেটা একধরনের যোগাযোগ,হেইডা একরহমের যোগাযোগ,ইবে একডৈল্লে যোগাযোগ,হেইডা একধরনের যোগাযোগ,হেইডা একধরনের যোগাযোগ,ইখটা এখ ধরনর যুগাযুগ
আমি গতকাল স্কুলে আসিনি,মুই গ্যাছেকাইল ইস্কুলে আইনাই,আই গতকাল স্কুলত নো যাই,আমি গতকাল ইস্কুলে আইনাই,আই গতকাল স্কুলে আইনো,মুই কাইলকু ইস্কুল আইছি না
তাদেও কেও স্কুলে আসেনি,হ্যাগোও কেউ ইস্কুলে আয়নাই,ইতারা কেউ স্কুলত নো যাই,হেরার কেও ইস্কুলে আয়নাই,হেতাগো কেও স্কুলে আইয়ে ন,তারার কেউ ওউ স্কুলও আইছে না
তাদের জানার কথা নয়,হ্যাগো জানার কথা না,ইতারা জানিবের হতা নো,হেরার জানার কথা না,হেতাগো জানার কতা ন,তারার জানার কথা নায়
বড়ো মামা  বিদেশ থেকে এসেছেন,বড় মামা বিদেশে গোনে আইছে,বড় মো বিদেশুরতুন আইস্যে,বড় মামা  বিদেশ থাইক্কা আইসেন,বড়ো মামা  বিদেশ তুন আইছেন,বড়ো মামা বিদেশ তনে আইছোইন
ক্লাসে কোন বিষয় নিয়ে কথা বলছিলেন?,কেলাশে কোন বিষয় লইয়া কথা কইতেয়াছেলেন?,ক্লাসত হোন বেফারে হতা হইয়্যে?,ক্লাসে কোন বিষয় নিয়া কথা কইসিলেন?,ক্লাসে কোন বিষয় লই কতা কইছিলেন?,ক্লাস-ও কোন ব্যাপারে মাতছিলায়?
কেন পলাশের কথায় বিরক্ত হয়েছিল,কির লইজ্ঞা পলাশের কথায় বিরক্ত হইল্লেহ?,পলাশর হতাত বিরক্ত কিললাই অইলে?,কেরে পলাশের কথায় বিরক্ত হইসিল?,কিল্লেই হলাশের কথাত বিরক্ত অইছিলো?,পলাশ ওর মাতে বিরক্ত ওইছলায় কিওর লাগি?
ইচ্ছা ছিল কোনো জায়গায় ঘুরতে যাব,ইচ্ছা আল্লেহ কোন হানে ঘোরতে যামু,ইচ্ছে আসিল হোনো মিক্কে ঘুইরতু যাইয়্যুম,ইচ্ছা আসিল কোনো জায়গায় ঘুরতাম যায়াম,ইচ্ছা আছিলো কোনো জায়গাত ঘুইরতাম যাইয়ুম,ইচ্ছা আছিল কোন জেগাত ঘুরাত যাইমু
অনেকবার লালবাগ কেল্লার কথা শুনেছি,ম্যালাবার লালবাগ কেল্লার কথা হুনছি,বোতবার লালবাগ হেল্লার হোতা উইন্নি,অনেকবার লালবাগ কেল্লার কথা হুনসি,অনেকবার লালবাগ কেল্লার কতা হুইনছি,বউতবার লালবাগ কেল্লার মাত হুনছি
ঠিক করা হলো সবাই মিলে সেখানে যাব,ঠিক করা হইছে হগলডি মিল্লা হেইহানে যামু,ঠিক‌ গোরন‌ অইলে বেকে মিলে এডে যাইউম,ঠিক করা হইলো সবাই মিল্লা ওইহানে যায়াম,ঠিক করা অইলো বেকে মিলি হিয়ানে যাইয়ুম,ঠিক ওইলো হকলে মিলিয়া ওনো যাইমু
আমার মামাতো বোনও যেতে চাইল,মোর মামাতো বুইনও যাইতে চাইছে,আর মতো বইন ও যাইতু আসিল,আমার মামাতো বইনও যাইতে চাইল,আর মামতো বোনও যাইতে চাইলো,আমার মামাত্তো বইন-ও যাইতো চাইছিল
লিখে শিক্ষকের কাছে জমা দাও,লেইখ্যা শিক্ষকের ধারে জমা দেও,লিহি এনে মাষ্টর অর হাসোত জমা দে,লেইক্ষা শিক্ষকের কাছে জমা দেও,লেই শিক্ষকের কাছে জমা দাও,লেখিয়া শিক্ষক ওর ধারো জমা দেও
সব অঞ্চলের মানুষের ভাষা এক রকমের নয়,হগল এলাকার মানের ভাষা এক রহম না,বেক অঞ্চল অর মাইনষের ভাষা‌ এক‌ডইল্লে নই,বেগ অঞ্চলের মাইনষের ভাষা এক রহমের না,বেক অঞ্চলের মাইনষের ভাষা এক রকমের ন,হকল জেগার মাইনষের ভাষা একলাকান নায়
অনেক শব্দের উচ্চারণ আলাদা হয়,ম্যালা শব্দের উচ্চারন ভিন্ন হয়,বোত শব্দের উচ্চারণ এক এক রহমর অই,মেলা শব্দের উচ্চারণ আলাদা হয়,অনেক শব্দের উচ্চারণ আলাদা অয়,বউত শব্দ'র উচ্চারণ আলাদা ওয়
দক্ষিণের জেলা কক্সবাজার,দক্ষিনের জেলা কক্সবাজার,দইন অর জেলা হক্সবাজার,দক্ষিণের জেলা কক্সবাজার,দইণের জেলা কক্সবাজার,দক্ষিণ ওর জেলা কক্সবাজার
সাড়ে চারটায় সবার মাঠে আসার কথা,সাড়ে চাইরটায় হগলডির মাডে আওয়ার কথা,সাড়ে চারটার সমত বেকের মাডত আইবের হতা,সাড়ে চারটায় বেহের মাঠে আওনের কথা,সাড়ে চাইরটায় বেকে মাঠে আইয়নের কতা,সাড়ে চাইট্টাত হক্কল ওর মাঠ-ও আওয়ার কথা
আজ কোনো খেলা হবে না,আইজগো কোনো খ্যালা হইবে না,আজিয়ে হোনো খেলা অইতু নো,আইজ কোন খেলা হইতো না,আইজ কোনো খেলা অইতো ন,আইজ কোন খেলা ওইতো নায়
একটা পোড়োবাড়ি আছে,এউক্কা পোড়াবাড়ি আছে,উগ্গো পোড়াবাড়ি আছে,একটা পোড়োবাড়ি আসে,ওকগা হোড়াবাড়ি আছে,একগু পোড়াবাড়ি আছিল
এখানে কী করছো তোমরা?,এইহানে কি করতেয়াছো তোমরা?,এডে কিত্তে লাইগ্গু তোরা,এইহানে কী করতাসো তোমরা?,ইয়ানে কী কইরতেছো তোমরা?,ওনো কিতা কররায় তোমরা?
চারপাশে কত বড়ো বড়ো গাছ!,চাইরদিক কত্ত বিশাল বিশাল গাছ,চারিমিক্কে হতর হতর‌ গাছ,চাইরপাশে কত বড় বড় গাছ,চাইরপাশে কত্ত বড্ডা বড্ডা গাছ,চাইরো দিকে কতো বড় বড় গাছ
দিনের বেলাতেও বাড়ির ভিতরটা অন্ধকার হয়ে থাকে,দিনের কালেও ভাড়ির ভিতরে আন্ধার হইয়া থাহে,দিন অর বেলাত অ বাড়ির ভিতুর আন্ধা অই‌ তাহে,দিনের বেলাতেও বাড়ির ভিতরডা অন্ধকার হয়া থাকে,দিনের বেলাত ও বাড়ির ভিতরকান অন্ধকার অই থায়,দিন ওর বেলাতও বাড়ির ভিতরটা অন্ধকার ওই থাকে
রেলগাড়ি চলে রেললাইনের উপর দিয়ে,রেলগাড়ি চলে রেললাইনের উপরে দিয়া,রেলগাড়ি চলে রেললাইনর উওদ্দিয়েরে,রেলগাড়ি চলে রেললাইনের উপরে দিয়া,রেলগাড়ি চলে রেললাইনের উপর দি,রেলগাড়ি চলেউ রেললাইন ওর উফ্রে দিয়া
উপহার পেতে প্রত্যেকের ভালো লাগে,উপহার পাইতে পেরতেকের ভালো লাগে,উপহার ফাইতু বেগ্গুনুরতুন ভালা লাগে,উপহার পাইতে বেহের ভালা লাগে,উপহার হাইতে বেকের ভালা লাগে,উপহার ফাইতে সবের ওয় বালা লাগে
অচেনা লোকের উপহার গ্রহণ করি না,অচেনা লোকের উপহার লই না,অচেনা লোকর উফহার গ্রহন নো গরি,অচেনা লোকের উপহার গ্রহণ করি না,যেতাগোরে চিনিনা হেতাগো উপহার গ্রহণ করি না,অচেনা মাইনষের উপহার লই না
উপহার দিতে অনেকের ভালো লাগে,উপহার দেতে অনেকের ভালো লাগে,উপহার দিতু বেগ্গুনুরতুন ভালা লাগে,উপহার দিতে অনেকের ভালা লাগে,উপহার দিতে অনেকের ভালা লাগে,উপহার দিতে বউত ওর বালা লাগে
খেলার মাঠে আমরা রোজ খেলতে যাই,খ্যালার মাডে মোরা পেরতেকদিন খ্যালতে যাই,হেলার মাডত আরা রোজ কেলিবের লাই যাই,খেলার মাঠে আমরা রোজ খেলতাম যাই,খেলার মাডে আমরা রোজ খেইলতে যাই,খেলার মাঠ-ও আমরা রোজ খেলাত যাই
এক চানাচুরওয়ালাকে দেখা যায়,এউক্কা চানাচুরয়আলারে দ্যাহা যায়,এক্কান চানাচুরবালত দেহা যায়,এক চানাচুরওয়ালারে দেহন যায়,ওকগা চানাচুরওয়ালারে দেয়া যায়,একটা চানাচুরআলারে দেখা যাইরো
